NCBI GeneID	Symbol	Description	Transcripts	Ensembl GeneIDs
100218122	PLEK2	pleckstrin 2	1	ENSTGUG00000011537
100218124	GEMIN2	gem nuclear organelle associated protein 2	2	
100218128	ATP6V1D	ATPase H+ transporting V1 subunit D	1	ENSTGUG00000011556
100218131	CHST1	carbohydrate sulfotransferase 1	3	ENSTGUG00000010745
100218134	SLC1A2	solute carrier family 1 member 2	4	ENSTGUG00000021059
100218136	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	1	ENSTGUG00000002690
100218137	TMX2	thioredoxin related transmembrane protein 2	2	ENSTGUG00000007042
100218139	SYNDIG1	synapse differentiation inducing 1	1	ENSTGUG00000006051
100218148	MC4R	melanocortin 4 receptor	2	ENSTGUG00000027462
100218151	SLC39A1	solute carrier family 39 member 1	4	ENSTGUG00000028450
100218153	EDN3	endothelin 3	2	
100218156	SLC25A24	solute carrier family 25 member 24	1	ENSTGUG00000004615
100218161	CXCL14	C-X-C motif chemokine ligand 14	1	ENSTGUG00000017226
100218162	NGB	neuroglobin	2	ENSTGUG00000022938
100218163	HPSE	heparanase	1	ENSTGUG00000002169
100218165	EYA2	EYA transcriptional coactivator and phosphatase 2	2	ENSTGUG00000005408
100218166	BBS12	Bardet-Biedl syndrome 12	2	ENSTGUG00000002016
100218168	GHRH	growth hormone releasing hormone	1	
100218169	RMI1	RecQ mediated genome instability 1	5	ENSTGUG00000003137
100218171	JAG1	jagged canonical Notch ligand 1	1	ENSTGUG00000006079
100218172	MAD2L1	mitotic arrest deficient 2 like 1	1	ENSTGUG00000001917
100218174	UCKL1	uridine-cytidine kinase 1 like 1	4	ENSTGUG00000007162
100218176	ELAPOR2	endosome-lysosome associated apoptosis and autophagy regulator family member 2	1	ENSTGUG00000002377
100218177	EXOC5	exocyst complex component 5	2	ENSTGUG00000013051
100218178	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	1	ENSTGUG00000004578
100218179	RAB3C	RAB3C, member RAS oncogene family	3	ENSTGUG00000021490
100218182	SFMBT2	Scm like with four mbt domains 2	4	ENSTGUG00000002052
100218184	TRAF3	TNF receptor associated factor 3	7	ENSTGUG00000012821
100218185	LANCL2	LanC like glutathione S-transferase 2	2	ENSTGUG00000020824
100218188	LIN9	lin-9 DREAM MuvB core complex component	1	ENSTGUG00000004230
100218189	UPF2	UPF2 regulator of nonsense mediated mRNA decay	3	ENSTGUG00000002163
100218192	DCBLD2	discoidin, CUB and LCCL domain containing 2	1	ENSTGUG00000013637
100218193	CEP41	centrosomal protein 41	1	ENSTGUG00000001919
100218194	HECTD1	HECT domain E3 ubiquitin protein ligase 1	10	ENSTGUG00000011864
100218198	TFPI2	tissue factor pathway inhibitor 2	2	ENSTGUG00000001515
100218199	NECTIN3	nectin cell adhesion molecule 3	1	ENSTGUG00000013600
100218200	TRERF1	transcriptional regulating factor 1	10	ENSTGUG00000003250
100218201	SLC6A6	solute carrier family 6 member 6	11	ENSTGUG00000008337
100218202	PARVB	parvin beta	3	ENSTGUG00000011982
100218203	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1	4	ENSTGUG00000027328
100218206	IQSEC1	IQ motif and Sec7 domain ArfGEF 1	18	ENSTGUG00000003876
100218209	RGS9	regulator of G protein signaling 9	4	ENSTGUG00000004156
100218210	INPP5A	inositol polyphosphate-5-phosphatase A	1	ENSTGUG00000011675
100218212	TMC6	transmembrane channel like 6	4	ENSTGUG00000003385
100218213	ZNF706	zinc finger protein 706	3	ENSTGUG00000020385
100218214	SOX11	SRY-box transcription factor 11	1	ENSTGUG00000012987
100218218	RIMS1	regulating synaptic membrane exocytosis 1	46	ENSTGUG00000012695
100218219	ATP6V1C1	ATPase H+ transporting V1 subunit C1	1	ENSTGUG00000012137
100218220	MTFR1	mitochondrial fission regulator 1	4	ENSTGUG00000011257
100218221	AP4B1	adaptor related protein complex 4 subunit beta 1	2	ENSTGUG00000001565
100218222	CHMP6	charged multivesicular body protein 6	1	ENSTGUG00000003019
100218224	NOL4	nucleolar protein 4	5	ENSTGUG00000010787
100218225	CLSTN3	calsyntenin 3	1	ENSTGUG00000013253
100218226	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	1	ENSTGUG00000001154
100218229	PSMG2	proteasome assembly chaperone 2	1	
100218230	IQCG	IQ motif containing G	4	ENSTGUG00000009672
100218231	GOLGA1	golgin A1	2	ENSTGUG00000007238
100218232	PHF19	PHD finger protein 19	1	ENSTGUG00000006527
100218236	HSPA5	heat shock protein family A (Hsp70) member 5	1	ENSTGUG00000007279
100218237	EPHB3	EPH receptor B3	2	ENSTGUG00000010386
100218242	TENM4	teneurin transmembrane protein 4	11	ENSTGUG00000012991
100218243	VPS45	vacuolar protein sorting 45 homolog	1	ENSTGUG00000004493
100218244	CACNA1C	calcium voltage-gated channel subunit alpha1 C	14	ENSTGUG00000012538
100218245	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	1	ENSTGUG00000011368
100218248	DNAH12	dynein axonemal heavy chain 12	2	ENSTGUG00000007230
100218249	EPS8	EGFR pathway substrate 8, signaling adaptor	5	ENSTGUG00000012399
100218252	TM7SF3	transmembrane 7 superfamily member 3	2	ENSTGUG00000012183
100218253	ST18	ST18 C2H2C-type zinc finger transcription factor	4	ENSTGUG00000010944
100218254	WDR82	WD repeat domain 82	1	ENSTGUG00000023769
100218259	INTS13	integrator complex subunit 13	1	ENSTGUG00000012188
100218260	RMC1	regulator of MON1-CCZ1	1	ENSTGUG00000010413
100218262	BEND6	BEN domain containing 6	4	ENSTGUG00000012798
100218263	YBEY	ybeY metalloendoribonuclease	2	ENSTGUG00000003495
100218264	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	5	ENSTGUG00000004006
100218265	KCNQ5	potassium voltage-gated channel subfamily Q member 5	2	ENSTGUG00000012688
100218267	PGM3	phosphoglucomutase 3	1	ENSTGUG00000012547
100218268	LRRC4	leucine rich repeat containing 4	1	
100218270	RAD21	RAD21 cohesin complex component	1	ENSTGUG00000012319
100218272	TRIB2	tribbles pseudokinase 2	1	ENSTGUG00000013089
100218273	ENGASE	endo-beta-N-acetylglucosaminidase	1	ENSTGUG00000003184
100218275	RAD54B	RAD54 homolog B	1	ENSTGUG00000011880
100218277	ZNF76	zinc finger protein 76	2	ENSTGUG00000001745
100218278	GCLC	glutamate-cysteine ligase catalytic subunit	3	ENSTGUG00000012854
100218279	RDH10	retinol dehydrogenase 10	1	ENSTGUG00000011532
100218280	CCDC39	coiled-coil domain 39 molecular ruler complex subunit	1	ENSTGUG00000010586
100218282	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	2	ENSTGUG00000004087
100218284	TGS1	trimethylguanosine synthase 1	2	ENSTGUG00000011050
100218285	VWA5B2	von Willebrand factor A domain containing 5B2	4	
100218286	DENND2D	DENN domain containing 2D	1	ENSTGUG00000001388
100218288	CLCN1	chloride voltage-gated channel 1	3	ENSTGUG00000013222
100218289	PTPN7	protein tyrosine phosphatase non-receptor type 7	7	ENSTGUG00000001206
100218291	DOK6	docking protein 6	1	ENSTGUG00000009250
100218296	INPP5E	inositol polyphosphate-5-phosphatase E	1	ENSTGUG00000006249
100218299	NACC2	NACC family member 2	6	ENSTGUG00000006402
100218301	POGZ	pogo transposable element derived with ZNF domain	3	ENSTGUG00000017393
100218302	EPHB6	EPH receptor B6	2	ENSTGUG00000013187
100218303	RPRD2	regulation of nuclear pre-mRNA domain containing 2	2	ENSTGUG00000004590
100218304	SMYD5	SMYD family member 5	1	ENSTGUG00000015434
100218305	CCDC77	coiled-coil domain containing 77	2	ENSTGUG00000012628
100218306	XPC	XPC complex subunit, DNA damage recognition and repair factor	2	ENSTGUG00000008307
100218310	CCDC91	coiled-coil domain containing 91	5	ENSTGUG00000012682
100218322	DTNBP1	dystrobrevin binding protein 1	1	ENSTGUG00000029768
100218324	USP1	ubiquitin specific peptidase 1	3	ENSTGUG00000009799
100218326	RAI1	retinoic acid induced 1	3	ENSTGUG00000022081
100218327	CASK	calcium/calmodulin dependent serine protein kinase	11	ENSTGUG00000006375
100218332	WDR4	WD repeat domain 4	1	ENSTGUG00000005733
100218334	DOCK5	dedicator of cytokinesis 5	2	ENSTGUG00000004369
100218335	RASD1	ras related dexamethasone induced 1	2	ENSTGUG00000007363
100218339	PUS7L	pseudouridine synthase 7 like	2	ENSTGUG00000005924
100218342	FAM151B	family with sequence similarity 151 member B	1	ENSTGUG00000024248
100218343	IRF2	interferon regulatory factor 2	5	ENSTGUG00000006662
100218346	EPHB2	EPH receptor B2	2	ENSTGUG00000017194
100218347	LMNB1	lamin B1	1	ENSTGUG00000006435
100218350	ZNF488	zinc finger protein 488	1	ENSTGUG00000008050
100218352	NFKB2	nuclear factor kappa B subunit 2	2	ENSTGUG00000007491
100218359	PEX14	peroxisomal biogenesis factor 14	1	ENSTGUG00000003272
100218360	ACSBG1	acyl-CoA synthetase bubblegum family member 1	1	
100218363	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	7	ENSTGUG00000003191
100218364	UST	uronyl 2-sulfotransferase	1	ENSTGUG00000010673
100218366	ST7	suppression of tumorigenicity 7	3	ENSTGUG00000005050
100218369	ZFAND4	zinc finger AN1-type containing 4	6	ENSTGUG00000007872
100218371	IRF2BP2	interferon regulatory factor 2 binding protein 2	2	ENSTGUG00000010224
100218373	MFAP1	microfibril associated protein 1	1	ENSTGUG00000010162
100218376	ATAD1	ATPase family AAA domain containing 1	2	ENSTGUG00000005005
100218377	EFCAB7	EF-hand calcium binding domain 7	1	ENSTGUG00000009906
100218379	ZYG11B	zyg-11 family member B, cell cycle regulator	1	
100218380	CHRM3	cholinergic receptor muscarinic 3	3	ENSTGUG00000010589
100218381	LMTK2	lemur tyrosine kinase 2	3	ENSTGUG00000008720
100218382	E2F3	E2F transcription factor 3	2	ENSTGUG00000006335
100218383	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	1	ENSTGUG00000008121
100218386	PDGFRA	platelet derived growth factor receptor alpha	1	ENSTGUG00000007756
100218390	PWP2	PWP2 small subunit processome component	1	ENSTGUG00000005996
100218391	PLEKHA2	pleckstrin homology domain containing A2	2	ENSTGUG00000005099
100218394	GLRA2	glycine receptor alpha 2	8	ENSTGUG00000008149
100218395	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	3	ENSTGUG00000006835
100218396	KCTD9	potassium channel tetramerization domain containing 9	2	ENSTGUG00000004348
100218397	SCAF11	SR-related CTD associated factor 11	5	ENSTGUG00000006091
100218399	MCOLN3	mucolipin TRP cation channel 3	4	ENSTGUG00000006482
100218401	CNTN1	contactin 1	5	ENSTGUG00000005721
100218404	ATP6AP1L	ATPase H+ transporting accessory protein 1 like	1	ENSTGUG00000006935
100218409	SEC31B	SEC31 homolog B, COPII coat complex component	4	ENSTGUG00000007660
100218410	ADAT2	adenosine deaminase tRNA specific 2	1	
100218411	TM9SF3	transmembrane 9 superfamily member 3	1	ENSTGUG00000007294
100218413	FCHO2	FCH and mu domain containing endocytic adaptor 2	6	ENSTGUG00000005780
100218417	PEX7	peroxisomal biogenesis factor 7	1	
100218418	TAFA5	TAFA chemokine like family member 5	11	ENSTGUG00000003824
100218420	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1	2	ENSTGUG00000005829
100218421	TBC1D22A	TBC1 domain family member 22A	1	ENSTGUG00000003790
100218422	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	1	ENSTGUG00000010280
100218425	ZNF710	zinc finger protein 710	4	ENSTGUG00000026802
100218429	TRIM67	tripartite motif containing 67	2	ENSTGUG00000009874
100218432	ADAM8	ADAM metallopeptidase domain 8	2	
100218434	GDE1	glycerophosphodiester phosphodiesterase 1	1	ENSTGUG00000009391
100218436	AAAS	aladin WD repeat nucleoporin	3	ENSTGUG00000023338
100218437	MRPL37	mitochondrial ribosomal protein L37	1	ENSTGUG00000009406
100218438	LTV1	LTV1 ribosome biogenesis factor	1	ENSTGUG00000011022
100218440	MRS2	magnesium transporter MRS2	1	
100218441	C3H6orf120	chromosome 3 C6orf120 homolog	4	ENSTGUG00000026228
100218442	ADAP1	ArfGAP with dual PH domains 1	2	ENSTGUG00000008402
100218444	MAP7D2	MAP7 domain containing 2	7	ENSTGUG00000007527
100218448	MNT	MAX network transcriptional repressor	1	ENSTGUG00000020204
100218450	TMEM267	transmembrane protein 267	6	ENSTGUG00000022905
100218451	SUGP2	SURP and G-patch domain containing 2	2	ENSTGUG00000001088
100218452	ULK2	unc-51 like autophagy activating kinase 2	1	ENSTGUG00000007111
100218454	CELF4	CUGBP Elav-like family member 4	28	
100218455	ANKRD24	ankyrin repeat domain 24	3	ENSTGUG00000000981
100218457	TSNARE1	t-SNARE domain containing 1	6	ENSTGUG00000012701
100218458	GAMT	guanidinoacetate N-methyltransferase	4	ENSTGUG00000000873
100218466	NRIP1	nuclear receptor interacting protein 1	6	ENSTGUG00000013544
100218467	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	5	ENSTGUG00000000416
100218469	SCAMP4	secretory carrier membrane protein 4	6	ENSTGUG00000027166
100218471	CHMP1B	charged multivesicular body protein 1B	1	
100218472	EVA1C	eva-1 homolog C	2	ENSTGUG00000013443
100218474	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	1	ENSTGUG00000000711
100218476	KANK3	KN motif and ankyrin repeat domains 3	2	
100218481	ADRA1B	adrenoceptor alpha 1B	1	ENSTGUG00000000206
100218482	PITRM1	pitrilysin metallopeptidase 1	1	ENSTGUG00000000889
100218483	MFAP3	microfibril associated protein 3	2	ENSTGUG00000026429
100218484	NRP1	neuropilin 1	5	ENSTGUG00000000947
100218486	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	1	ENSTGUG00000000300
100218487	KSR1	kinase suppressor of ras 1	4	ENSTGUG00000008593
100218490	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	1	ENSTGUG00000007882
100218491	EXOG	exo/endonuclease G	2	ENSTGUG00000000538
100218492	ORC4	origin recognition complex subunit 4	3	ENSTGUG00000011929
100218493	RAB5IF	RAB5 interacting factor	1	ENSTGUG00000003394
100218494	TLCD3A	TLC domain containing 3A	1	ENSTGUG00000007263
100218495	NAB1	NGFI-A binding protein 1	4	ENSTGUG00000010836
100218497	ANTXR2	ANTXR cell adhesion molecule 2	1	
100218498	PIGL	phosphatidylinositol glycan anchor biosynthesis class L	6	
100218499	ADSS1	adenylosuccinate synthase 1	1	ENSTGUG00000012901
100218500	TRNT1	tRNA nucleotidyl transferase 1	1	ENSTGUG00000010192
100218501	FLOT2	flotillin 2	5	ENSTGUG00000006221
100218502	FZD7	frizzled class receptor 7	1	ENSTGUG00000010149
100218504	RTN4RL1	reticulon 4 receptor like 1	1	
100218507	GBA2	glucosylceramidase beta 2	1	ENSTGUG00000001845
100218510	DCAF8	DDB1 and CUL4 associated factor 8	1	ENSTGUG00000027613
100218511	GPCPD1	glycerophosphocholine phosphodiesterase 1	7	ENSTGUG00000002182
100218515	RIT2	Ras like without CAAX 2	1	ENSTGUG00000028909
100218516	GGNBP2	gametogenetin binding protein 2	4	ENSTGUG00000008018
100218518	SMYD4	SET and MYND domain containing 4	2	ENSTGUG00000005762
100218522	LMNA	lamin A/C	1	ENSTGUG00000015888
100218523	SLC39A3	solute carrier family 39 member 3	3	ENSTGUG00000020723
100218525	CELF5	CUGBP Elav-like family member 5	3	
100218527	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	3	ENSTGUG00000013482
100218529	RAB8A	RAB8A, member RAS oncogene family	1	ENSTGUG00000028573
100218532	DLG3	discs large MAGUK scaffold protein 3	17	ENSTGUG00000007374
100218533	CACTIN	cactin, spliceosome C complex subunit	2	ENSTGUG00000000163
100218534	GLA	galactosidase alpha	1	
100218535	FAM193B	family with sequence similarity 193 member B	1	ENSTGUG00000000424
100218538	KIF5C	kinesin family member 5C	1	ENSTGUG00000011950
100218539	UBTD2	ubiquitin domain containing 2	1	
100218543	CLTB	clathrin light chain B	2	ENSTGUG00000020354
100218545	SPRY4	sprouty RTK signaling antagonist 4	1	ENSTGUG00000029319
100218546	DUSP14	dual specificity phosphatase 14	1	ENSTGUG00000026045
100218549	JAKMIP2	janus kinase and microtubule interacting protein 2	4	ENSTGUG00000000040
100218551	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	7	ENSTGUG00000000594
100218552	LANCL1	LanC like glutathione S-transferase 1	1	ENSTGUG00000011434
100218555	THUMPD3	THUMP domain containing 3	2	ENSTGUG00000010440
100218558	EFCAB5	EF-hand calcium binding domain 5	7	ENSTGUG00000006474
100218559	FASTKD2	FAST kinase domains 2	3	ENSTGUG00000010004
100218560	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	3	ENSTGUG00000002444
100218561	NOP58	NOP58 ribonucleoprotein	1	ENSTGUG00000010124
100218562	RUSC2	RUN and SH3 domain containing 2	9	ENSTGUG00000001809
100218563	AFTPH	aftiphilin	3	ENSTGUG00000002302
100218565	STYXL1	serine/threonine/tyrosine interacting like 1	2	ENSTGUG00000004616
100218566	TMEM184B	transmembrane protein 184B	3	ENSTGUG00000010424
100218569	LRRTM1	leucine rich repeat transmembrane neuronal 1	1	
100218572	ANO4	anoctamin 4	10	ENSTGUG00000009008
100218574	NTN4	netrin 4	2	ENSTGUG00000008466
100218578	RTN4IP1	reticulon 4 interacting protein 1	3	ENSTGUG00000012187
100218579	CDK17	cyclin dependent kinase 17	7	ENSTGUG00000008629
100218583	OAT	ornithine aminotransferase	3	ENSTGUG00000011436
100218585	DOLPP1	dolichyldiphosphatase 1	2	ENSTGUG00000004356
100218588	COQ4	coenzyme Q4	2	
100218592	WHRN	whirlin	3	ENSTGUG00000003170
100218594	FAM124B	family with sequence similarity 124 member B	1	ENSTGUG00000029286
100218595	BACH2	BTB domain and CNC homolog 2	7	ENSTGUG00000012380
100218596	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	2	ENSTGUG00000004236
100218597	ADCK2	aarF domain containing kinase 2	1	ENSTGUG00000011650
100218599	HDAC2	histone deacetylase 2	1	ENSTGUG00000011964
100218601	RESF1	retroelement silencing factor 1	9	ENSTGUG00000019341
100218602	TSHZ1	teashirt zinc finger homeobox 1	1	ENSTGUG00000009111
100218603	BRCA2	BRCA2 DNA repair associated	2	ENSTGUG00000011763
100218606	D2HGDH	D-2-hydroxyglutarate dehydrogenase	2	ENSTGUG00000005907
100218609	SLC16A14	solute carrier family 16 member 14	5	ENSTGUG00000008367
100218616	CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1	1	ENSTGUG00000010540
100218617	L3MBTL2	L3MBTL histone methyl-lysine binding protein 2	1	ENSTGUG00000010000
100218618	PIBF1	progesterone immunomodulatory binding factor 1	3	ENSTGUG00000012511
100218619	MTPN	myotrophin	1	
100218620	NEK3	NIMA related kinase 3	2	ENSTGUG00000012048
100218622	IFT27	intraflagellar transport 27	3	
100218623	WASF3	WASP family member 3	2	ENSTGUG00000011551
100218625	MAVS	mitochondrial antiviral signaling protein	2	ENSTGUG00000010956
100218626	RANGAP1	Ran GTPase activating protein 1	3	ENSTGUG00000009969
100218633	EMP1	epithelial membrane protein 1	1	ENSTGUG00000026511
100218636	NAE1	NEDD8 activating enzyme E1 subunit 1	2	ENSTGUG00000009718
100218637	SLC22A16	solute carrier family 22 member 16	2	ENSTGUG00000012062
100218638	PEPD	peptidase D	5	ENSTGUG00000009480
100218639	ASS1	argininosuccinate synthase 1	2	ENSTGUG00000004656
100218643	ZNF507	zinc finger protein 507	5	ENSTGUG00000009020
100218644	COL27A1	collagen type XXVII alpha 1 chain	6	ENSTGUG00000003398
100218646	FHIP2A	FHF complex subunit HOOK interacting protein 2A	2	ENSTGUG00000010966
100218649	EPHA4	EPH receptor A4	1	ENSTGUG00000007665
100218650	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	5	ENSTGUG00000012227
100218652	HEY2	hes related family bHLH transcription factor with YRPW motif 2	1	ENSTGUG00000011792
100218653	ALAD	aminolevulinate dehydratase	1	
100218658	RNF6	ring finger protein 6	4	ENSTGUG00000011529
100218660	SAP130	Sin3A associated protein 130	5	ENSTGUG00000005735
100218662	MICU2	mitochondrial calcium uptake 2	1	ENSTGUG00000011401
100218663	DGKD	diacylglycerol kinase delta	6	ENSTGUG00000007464
100218666	PROSER2	proline and serine rich 2	1	ENSTGUG00000002158
100218667	SELENOM	selenoprotein M	1	
100218670	EWSR1	EWS RNA binding protein 1	5	ENSTGUG00000010419
100218672	DESI1	desumoylating isopeptidase 1	1	ENSTGUG00000023310
100218673	ZC3H13	zinc finger CCCH-type containing 13	4	ENSTGUG00000012299
100218677	N4BP2L2	NEDD4 binding protein 2 like 2	13	ENSTGUG00000011776
100218683	CEBPZ	CCAAT enhancer binding protein zeta	1	ENSTGUG00000008585
100218688	EMP2	epithelial membrane protein 2	1	ENSTGUG00000004799
100218693	PARP16	poly(ADP-ribose) polymerase family member 16	1	ENSTGUG00000009103
100218694	KCNK5	potassium two pore domain channel subfamily K member 5	1	ENSTGUG00000007722
100218695	NMRAL1	NmrA like redox sensor 1	2	ENSTGUG00000003890
100218696	TMEM158	transmembrane protein 158	1	ENSTGUG00000020675
100218697	TBC1D24	TBC1 domain family member 24	8	ENSTGUG00000003258
100218698	MRPS34	mitochondrial ribosomal protein S34	1	
100218699	MANBA	mannosidase beta	8	ENSTGUG00000003629
100218701	TGFBR3	transforming growth factor beta receptor 3	1	ENSTGUG00000006121
100218702	STARD5	StAR related lipid transfer domain containing 5	1	ENSTGUG00000007905
100218706	MYEF2	myelin expression factor 2	8	ENSTGUG00000007130
100218708	CEP104	centrosomal protein 104	3	ENSTGUG00000002728
100218712	TEX9	testis expressed 9	3	ENSTGUG00000006348
100218713	BMPR1B	bone morphogenetic protein receptor type 1B	1	ENSTGUG00000003164
100218714	ADAL	adenosine deaminase like	1	ENSTGUG00000005700
100218718	HNRNPD	heterogeneous nuclear ribonucleoprotein D	4	ENSTGUG00000002858
100218722	ASB7	ankyrin repeat and SOCS box containing 7	1	ENSTGUG00000008846
100218723	CEP78	centrosomal protein 78	4	ENSTGUG00000003403
100218726	MAPK6	mitogen-activated protein kinase 6	4	ENSTGUG00000006789
100218727	RINT1	RAD50 interactor 1	2	ENSTGUG00000002979
100218728	PKM	pyruvate kinase M1/2	4	ENSTGUG00000004376
100218735	KIF21A	kinesin family member 21A	9	ENSTGUG00000003457
100218736	TET1	tet methylcytosine dioxygenase 1	3	ENSTGUG00000027320
100218737	PALB2	partner and localizer of BRCA2	2	ENSTGUG00000006104
100218738	GSPT1	G1 to S phase transition 1	1	ENSTGUG00000005103
100218740	CRIM1	cysteine rich transmembrane BMP regulator 1	1	ENSTGUG00000008626
100218742	SCCPDH	saccharopine dehydrogenase (putative)	1	ENSTGUG00000008414
100218744	SLX4	SLX4 structure-specific endonuclease subunit	5	ENSTGUG00000029145
100218746	STUB1	STIP1 homology and U-box containing protein 1	1	ENSTGUG00000019581
100218747	EGF	epidermal growth factor	2	ENSTGUG00000004206
100218748	METTL26	methyltransferase like 26	6	ENSTGUG00000003406
100218750	CPNE4	copine 4	3	ENSTGUG00000004219
100218752	BARHL2	BarH like homeobox 2	1	ENSTGUG00000023723
100218753	ARNT2	aryl hydrocarbon receptor nuclear translocator 2	4	ENSTGUG00000008015
100218755	EVI5	ecotropic viral integration site 5	12	ENSTGUG00000006013
100218756	CNN3	calponin 3	1	ENSTGUG00000005620
100218760	AP4E1	adaptor related protein complex 4 subunit epsilon 1	1	ENSTGUG00000006963
100218761	NPY1R	neuropeptide Y receptor Y1	1	ENSTGUG00000005806
100218762	CCDC171	coiled-coil domain containing 171	8	
100218763	SGMS2	sphingomyelin synthase 2	4	ENSTGUG00000003967
100218766	KIAA2013	KIAA2013 ortholog	1	
100218767	SLTM	SAFB like transcription modulator	5	ENSTGUG00000006017
100218772	SPEN	spen family transcriptional repressor	5	ENSTGUG00000024083
100218774	TRIM46	tripartite motif containing 46	1	ENSTGUG00000016667
100218776	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	6	ENSTGUG00000007759
100218779	APBA2	amyloid beta precursor protein binding family A member 2	4	ENSTGUG00000005613
100218780	PALD1	phosphatase domain containing paladin 1	2	ENSTGUG00000004592
100218785	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	1	
100218787	KIFBP	kinesin family binding protein	2	ENSTGUG00000003868
100218788	NR1D2	nuclear receptor subfamily 1 group D member 2	1	ENSTGUG00000003335
100218794	PXK	PX domain containing serine/threonine kinase like	12	ENSTGUG00000009162
100218795	SESTD1	SEC14 and spectrin domain containing 1	4	ENSTGUG00000009296
100218797	B3GALT1	beta-1,3-galactosyltransferase 1	11	ENSTGUG00000019956
100218802	COIL	coilin	1	ENSTGUG00000028805
100218809	KCTD2	potassium channel tetramerization domain containing 2	1	
100218810	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	1	ENSTGUG00000003020
100218811	MBTD1	mbt domain containing 1	10	ENSTGUG00000009373
100218812	PTP4A3	protein tyrosine phosphatase 4A3	1	ENSTGUG00000021872
100218814	BECN1	beclin 1	1	ENSTGUG00000002784
100218817	AKAP14	A-kinase anchoring protein 14	5	
100218818	F5	coagulation factor V	4	ENSTGUG00000013426
100218819	STARD3	StAR related lipid transfer domain containing 3	2	ENSTGUG00000002220
100218821	ARHGAP31	Rho GTPase activating protein 31	1	ENSTGUG00000020207
100218831	LAS1L	LAS1 like ribosome biogenesis factor	1	ENSTGUG00000002844
100218832	PPIG	peptidylprolyl isomerase G	1	ENSTGUG00000007875
100218837	CCND3	cyclin D3	1	ENSTGUG00000017447
100218839	RNF25	ring finger protein 25	1	ENSTGUG00000005569
100218840	DGKQ	diacylglycerol kinase theta	1	ENSTGUG00000001497
100218842	SLC49A4	solute carrier family 49 member 4	1	ENSTGUG00000004391
100218846	PDK1	pyruvate dehydrogenase kinase 1	1	ENSTGUG00000008513
100218850	SLC16A2	solute carrier family 16 member 2	1	ENSTGUG00000025925
100218852	HLF	HLF transcription factor, PAR bZIP family member	1	ENSTGUG00000028342
100218856	RIOK2	RIO kinase 2	1	ENSTGUG00000001223
100218857	FAIM2	Fas apoptotic inhibitory molecule 2	1	
100218858	GALK1	galactokinase 1	1	ENSTGUG00000008321
100218859	AFF2	ALF transcription elongation factor 2	5	ENSTGUG00000004690
100218860	NBR1	NBR1 autophagy cargo receptor	4	ENSTGUG00000002873
100218861	MIF4GD	MIF4G domain containing	1	
100218865	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	6	ENSTGUG00000007971
100218870	COMMD5	COMM domain containing 5	1	ENSTGUG00000003286
100218871	ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23	6	ENSTGUG00000013408
100218873	NKIRAS2	NFKB inhibitor interacting Ras like 2	2	ENSTGUG00000018383
100218877	STARD8	StAR related lipid transfer domain containing 8	4	ENSTGUG00000002706
100218878	GPR155	G protein-coupled receptor 155	2	ENSTGUG00000008786
100218879	ATG3	autophagy related 3	1	ENSTGUG00000013426
100218880	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9	17	ENSTGUG00000005598
100218881	HHATL	hedgehog acyltransferase like	1	ENSTGUG00000000261
100218883	RAB37	RAB37, member RAS oncogene family	7	ENSTGUG00000024387
100218884	GJC2	gap junction protein gamma 2	3	ENSTGUG00000000246
100218885	MYO3B	myosin IIIB	3	ENSTGUG00000008038
100218894	LY75	lymphocyte antigen 75	2	ENSTGUG00000006460
100218907	KDM2B	lysine demethylase 2B	7	ENSTGUG00000006001
100218908	CC2D2A	coiled-coil and C2 domain containing 2A	2	ENSTGUG00000009795
